nohup: ignoring input
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
Device: cuda
Loaded V4 NN: obs_dim=8, act_dim=3, hidden=(64, 64)
High-level: obs_dim=13, act_dim=2
[  630] MISSED | Steps=  19 | Reward=  20.56 | Rate= 50.0% | AvgR= 107.07 | LR=9.64e-05
[  640] MISSED | Steps=  39 | Reward=  23.46 | Rate= 48.0% | AvgR= 104.11 | LR=9.63e-05
[  650] CAUGHT | Steps=  36 | Reward= 228.17 | Rate= 46.0% | AvgR= 100.16 | LR=9.61e-05
[  660] MISSED | Steps=  24 | Reward= -41.22 | Rate= 41.0% | AvgR=  88.53 | LR=9.60e-05
[  670] MISSED | Steps=   5 | Reward= -36.67 | Rate= 44.0% | AvgR=  94.10 | LR=9.59e-05
[  680] CAUGHT | Steps=  58 | Reward= 187.43 | Rate= 43.0% | AvgR=  91.78 | LR=9.58e-05
[  690] MISSED | Steps=  15 | Reward= -41.28 | Rate= 40.0% | AvgR=  85.48 | LR=9.57e-05
[  700] MISSED | Steps=  14 | Reward=   9.55 | Rate= 38.0% | AvgR=  81.80 | LR=9.55e-05
[  710] CAUGHT | Steps=  75 | Reward= 188.22 | Rate= 39.0% | AvgR=  83.80 | LR=9.54e-05
[  720] CAUGHT | Steps=  28 | Reward= 220.38 | Rate= 41.0% | AvgR=  88.71 | LR=9.53e-05
[  730] MISSED | Steps=   9 | Reward= -15.44 | Rate= 44.0% | AvgR=  94.79 | LR=9.51e-05
[  740] MISSED | Steps=   1 | Reward= -30.00 | Rate= 44.0% | AvgR=  92.48 | LR=skip
[  750] MISSED | Steps=   8 | Reward= -12.84 | Rate= 47.0% | AvgR=  97.48 | LR=9.49e-05
[  760] MISSED | Steps=   2 | Reward= -34.11 | Rate= 51.0% | AvgR= 105.44 | LR=9.48e-05
[  770] CAUGHT | Steps=  99 | Reward= 197.29 | Rate= 49.0% | AvgR=  99.52 | LR=9.46e-05
[  780] MISSED | Steps=  15 | Reward=  20.08 | Rate= 48.0% | AvgR=  96.97 | LR=9.45e-05
[  790] CAUGHT | Steps=  56 | Reward= 209.29 | Rate= 51.0% | AvgR= 101.64 | LR=9.43e-05
[  800] CAUGHT | Steps=  46 | Reward= 217.21 | Rate= 53.0% | AvgR= 105.80 | LR=9.42e-05
[  810] CAUGHT | Steps=  52 | Reward= 247.21 | Rate= 54.0% | AvgR= 109.37 | LR=9.40e-05
[  820] MISSED | Steps=  21 | Reward=  -1.07 | Rate= 53.0% | AvgR= 107.07 | LR=9.39e-05
[  830] MISSED | Steps=   6 | Reward= -36.35 | Rate= 53.0% | AvgR= 106.86 | LR=9.37e-05
[  840] MISSED | Steps=  32 | Reward=  26.26 | Rate= 54.0% | AvgR= 110.67 | LR=9.36e-05
[  850] MISSED | Steps=  33 | Reward=  39.00 | Rate= 52.0% | AvgR= 107.86 | LR=9.35e-05
[  860] MISSED | Steps=   2 | Reward= -26.62 | Rate= 51.0% | AvgR= 106.12 | LR=9.33e-05
[  870] MISSED | Steps=  12 | Reward= -16.06 | Rate= 54.0% | AvgR= 114.51 | LR=9.31e-05
[  880] CAUGHT | Steps=  54 | Reward= 200.98 | Rate= 57.0% | AvgR= 120.59 | LR=9.30e-05
[  890] MISSED | Steps=  45 | Reward=  49.58 | Rate= 57.0% | AvgR= 122.07 | LR=9.28e-05
[  900] CAUGHT | Steps=  47 | Reward= 196.08 | Rate= 58.0% | AvgR= 123.59 | LR=9.27e-05
[  910] CAUGHT | Steps=  56 | Reward= 233.55 | Rate= 56.0% | AvgR= 120.36 | LR=9.25e-05
[  920] MISSED | Steps=   3 | Reward= -29.96 | Rate= 60.0% | AvgR= 129.72 | LR=9.23e-05
[  930] CAUGHT | Steps=  23 | Reward= 209.22 | Rate= 59.0% | AvgR= 128.26 | LR=9.22e-05
[  940] CAUGHT | Steps=  62 | Reward= 250.40 | Rate= 60.0% | AvgR= 130.22 | LR=9.20e-05
[  950] MISSED | Steps=  43 | Reward=  32.53 | Rate= 59.0% | AvgR= 128.45 | LR=9.19e-05
[  960] MISSED | Steps=  33 | Reward=  20.04 | Rate= 59.0% | AvgR= 127.70 | LR=9.17e-05
[  970] MISSED | Steps=  10 | Reward=  -2.65 | Rate= 56.0% | AvgR= 120.23 | LR=9.15e-05
[  980] MISSED | Steps=  23 | Reward=  23.77 | Rate= 52.0% | AvgR= 113.58 | LR=9.14e-05
[  990] CAUGHT | Steps=  63 | Reward= 179.79 | Rate= 53.0% | AvgR= 114.18 | LR=9.12e-05
[ 1000] MISSED | Steps=  61 | Reward=  33.55 | Rate= 53.0% | AvgR= 114.81 | LR=9.10e-05
[ 1010] CAUGHT | Steps=  42 | Reward= 215.11 | Rate= 54.0% | AvgR= 114.55 | LR=9.09e-05
[ 1020] MISSED | Steps=  11 | Reward= -11.58 | Rate= 52.0% | AvgR= 108.96 | LR=9.07e-05
[ 1030] CAUGHT | Steps=  31 | Reward= 233.64 | Rate= 54.0% | AvgR= 113.78 | LR=9.05e-05
[ 1040] CAUGHT | Steps=  42 | Reward= 262.82 | Rate= 54.0% | AvgR= 114.03 | LR=9.03e-05
[ 1050] CAUGHT | Steps=  90 | Reward= 169.73 | Rate= 55.0% | AvgR= 114.96 | LR=9.01e-05
[ 1060] MISSED | Steps=  19 | Reward= -10.35 | Rate= 53.0% | AvgR= 111.12 | LR=9.00e-05
[ 1070] CAUGHT | Steps=  83 | Reward= 206.05 | Rate= 53.0% | AvgR= 112.38 | LR=8.98e-05
[ 1080] CAUGHT | Steps=  73 | Reward= 166.08 | Rate= 55.0% | AvgR= 115.04 | LR=8.96e-05
[ 1090] MISSED | Steps=   1 | Reward= -30.00 | Rate= 56.0% | AvgR= 118.93 | LR=skip
[ 1100] CAUGHT | Steps=  58 | Reward= 227.39 | Rate= 57.0% | AvgR= 119.95 | LR=8.92e-05
[ 1110] MISSED | Steps=   1 | Reward= -30.00 | Rate= 59.0% | AvgR= 122.99 | LR=skip
[ 1120] CAUGHT | Steps=  29 | Reward= 238.63 | Rate= 61.0% | AvgR= 127.48 | LR=8.89e-05
[ 1130] MISSED | Steps=   1 | Reward= -30.00 | Rate= 59.0% | AvgR= 122.79 | LR=skip
[ 1140] CAUGHT | Steps=  67 | Reward= 186.48 | Rate= 61.0% | AvgR= 127.18 | LR=8.85e-05
[ 1150] MISSED | Steps=   1 | Reward= -30.00 | Rate= 62.0% | AvgR= 130.31 | LR=skip
  -> Best model saved: 66.0%
[ 1160] CAUGHT | Steps=  81 | Reward= 217.17 | Rate= 66.0% | AvgR= 138.10 | LR=8.81e-05
  -> Best model saved: 67.0%
  -> Best model saved: 68.0%
  -> Best model saved: 69.0%
[ 1170] MISSED | Steps=   1 | Reward= -30.00 | Rate= 68.0% | AvgR= 140.85 | LR=skip
  -> Best model saved: 70.0%
