Episode,Captured,Steps,Reward,CaptureRate,LR
294,1,34,233.54,52.0,9.92e-05
295,1,58,230.87,52.0,9.92e-05
296,0,53,55.74,51.0,9.92e-05
297,1,56,232.08,52.0,9.92e-05
298,0,41,44.81,51.0,9.92e-05
299,0,30,10.85,50.0,9.92e-05
300,0,6,-22.10,49.0,9.92e-05
301,1,49,240.50,50.0,9.92e-05
302,1,51,206.98,51.0,9.92e-05
303,1,39,232.94,52.0,9.91e-05
304,1,41,230.21,53.0,9.91e-05
305,0,52,22.41,52.0,9.91e-05
306,0,15,0.99,52.0,9.91e-05
307,0,10,-5.97,51.0,9.91e-05
308,1,43,231.11,52.0,9.91e-05
309,0,44,10.45,51.0,9.91e-05
310,0,6,-22.73,51.0,9.91e-05
311,1,42,231.45,52.0,9.91e-05
312,1,52,218.83,52.0,9.91e-05
313,1,28,216.87,52.0,9.91e-05
314,1,30,224.00,52.0,9.91e-05
315,0,2,-26.61,51.0,9.91e-05
316,0,44,45.78,50.0,9.91e-05
317,1,41,218.18,51.0,9.91e-05
318,1,48,220.27,51.0,9.91e-05
320,0,6,-13.71,50.0,9.91e-05
321,1,37,230.84,50.0,9.90e-05
322,0,16,-3.44,49.0,9.90e-05
323,0,10,-8.80,48.0,9.90e-05
324,1,20,216.37,48.0,9.90e-05
325,0,2,-33.52,48.0,9.90e-05
326,0,10,-16.15,48.0,9.90e-05
327,1,50,231.20,49.0,9.90e-05
328,0,21,13.78,48.0,9.90e-05
329,0,6,-20.82,47.0,9.90e-05
330,1,62,206.79,47.0,9.90e-05
331,1,58,196.63,47.0,9.90e-05
332,0,4,-28.94,46.0,9.90e-05
333,1,30,208.49,47.0,9.90e-05
334,1,34,228.58,48.0,9.90e-05
335,1,41,207.71,49.0,9.90e-05
336,1,25,209.72,49.0,9.90e-05
337,1,32,224.64,50.0,9.89e-05
339,1,69,184.47,49.0,9.89e-05
340,0,46,-5.35,48.0,9.89e-05
341,1,40,211.47,49.0,9.89e-05
342,1,51,240.23,50.0,9.89e-05
343,1,38,228.15,51.0,9.89e-05
344,1,63,203.30,51.0,9.89e-05
345,1,60,217.65,51.0,9.89e-05
346,1,46,215.89,51.0,9.89e-05
347,1,38,224.13,52.0,9.89e-05
348,0,4,-23.17,52.0,9.89e-05
349,1,69,216.56,52.0,9.89e-05
350,1,73,204.28,52.0,9.89e-05
351,0,15,8.14,52.0,9.89e-05
352,0,2,-25.47,52.0,9.89e-05
353,1,61,197.41,53.0,9.88e-05
355,1,51,231.68,54.0,9.88e-05
356,1,40,238.15,55.0,9.88e-05
357,1,43,252.23,55.0,9.88e-05
358,1,35,213.98,56.0,9.88e-05
359,0,28,-16.57,55.0,9.88e-05
360,0,9,-40.39,55.0,9.88e-05
361,1,28,229.88,56.0,9.88e-05
362,1,25,211.74,56.0,9.88e-05
363,0,9,-16.52,55.0,9.88e-05
364,1,37,214.23,56.0,9.88e-05
365,1,36,226.80,57.0,9.88e-05
366,0,21,20.84,57.0,9.88e-05
367,0,7,-20.32,57.0,9.88e-05
368,0,19,30.52,56.0,9.88e-05
369,0,4,-22.87,55.0,9.87e-05
370,0,22,2.30,55.0,9.87e-05
371,0,38,58.05,54.0,9.87e-05
372,1,65,248.79,55.0,9.87e-05
373,0,19,-10.33,55.0,9.87e-05
374,0,10,-16.26,55.0,9.87e-05
